male,index,motif_count,temp_target,temp,round,trial_round,date,counter,y0_simple_est,phi_ind
T234,1,0,42,43.04301,1,1,02/03/22,RAS,46.23076923076923,12.265113699389904
T234,1,30,44,44.53226,1,2,02/05/22,RAS,46.23076923076923,12.265113699389904
T234,1,34,27,27.15591,1,3,02/07/22,RAS,46.23076923076923,12.265113699389904
T234,1,87,40,41.09677,1,4,02/09/22,RAS,46.23076923076923,12.265113699389904
T234,1,52,35,36.1129,1,5,02/11/22,RAS,46.23076923076923,12.265113699389904
T234,1,32,40,39.49727,2,1,04/23/22,KIM,46.23076923076923,12.265113699389904
T234,1,31,40,39.34973,2,2,04/25/22,KIM,46.23076923076923,12.265113699389904
T234,1,41,40,38.32787,2,3,04/27/22,KIM,46.23076923076923,12.265113699389904
T234,1,36,44,42.5259382,3,1,06/23/22,KIM,46.23076923076923,12.265113699389904
T234,1,76,35,34.7880795,3,2,06/25/22,KIM,46.23076923076923,12.265113699389904
T234,1,61,42,41.7682119,3,3,06/27/22,KIM,46.23076923076923,12.265113699389904
T234,1,45,27,29.7826087,3,4,06/29/22,KIM,46.23076923076923,12.265113699389904
T234,1,76,40,39.3620309,3,5,07/01/22,KIM,46.23076923076923,12.265113699389904
T235,2,74,40,40.48925,1,1,02/13/22,KIM,179.46153846153845,103.69502786112302
T235,2,10,35,34.28763,1,2,02/15/22,KIM,179.46153846153845,103.69502786112302
T235,2,206,42,42.5,1,3,02/17/22,KIM,179.46153846153845,103.69502786112302
T235,2,265,44,45.02451,1,4,02/19/22,KIM,179.46153846153845,103.69502786112302
T235,2,327,27,26,1,5,02/21/22,KIM,179.46153846153845,103.69502786112302
T235,2,81,40,38.79508,2,1,05/05/22,KIM,179.46153846153845,103.69502786112302
T235,2,122,40,40.00546,2,2,05/07/22,KIM,179.46153846153845,103.69502786112302
T235,2,38,40,38.96995,2,3,05/09/22,KIM,179.46153846153845,103.69502786112302
T235,2,77,40,38.8636865,3,1,06/24/22,KIM,179.46153846153845,103.69502786112302
T235,2,425,27,30.7291667,3,2,06/26/22,KIM,179.46153846153845,103.69502786112302
T235,2,101,44,42.5469095,3,3,06/28/22,KIM,179.46153846153845,103.69502786112302
T235,2,223,35,33.8664459,3,4,06/30/22,KIM,179.46153846153845,103.69502786112302
T235,2,384,42,39.9740044,3,5,07/02/22,KIM,179.46153846153845,103.69502786112302
T236,3,90,40,40,1,1,01/24/22,RAS,161.15384615384616,23.20540970564837
T236,3,187,35,34.35215,1,2,01/26/22,RAS,161.15384615384616,23.20540970564837
T236,3,204,44,44.90323,1,3,01/28/22,RAS,161.15384615384616,23.20540970564837
T236,3,126,27,25.90591,1,4,01/30/22,RAS,161.15384615384616,23.20540970564837
T236,3,151,42,38.42473,1,5,02/01/22,RAS,161.15384615384616,23.20540970564837
T236,3,176,40,38.7035519,2,1,04/11/22,KIM,161.15384615384616,23.20540970564837
T236,3,231,40,38.6694,2,2,04/13/22,KIM,161.15384615384616,23.20540970564837
T236,3,196,40,38.19399,2,3,04/15/22,KIM,161.15384615384616,23.20540970564837
T236,3,198,27,26.1539735,3,1,06/06/22,KIM,161.15384615384616,23.20540970564837
T236,3,62,42,39.9845475,3,2,06/08/22,KIM,161.15384615384616,23.20540970564837
T236,3,48,44,41.2759382,3,3,06/10/22,KIM,161.15384615384616,23.20540970564837
T236,3,201,35,33.4111479,3,4,06/12/22,KIM,161.15384615384616,23.20540970564837
T236,3,225,40,38.2891832,3,5,06/14/22,KIM,161.15384615384616,23.20540970564837
T237,4,180,40,38.41803,2,1,05/24/22,KIM,131.875,9.674610697359514
