"","male","date","temp_target","round","total_songs","motif_count","total_duration","total_motifs","average_motif","average_duration","chamber","temp_mean","temp_median","humidity_mean"
"1","T229",2022-02-13,44,1,0,0,0,0,0,0,6,45.84946,46,9.263441
"2","T229",2022-02-15,42,1,7,24,26,22,3.14285714285714,3.71428571428571,6,42.28226,42.5,9.849462
"3","T229",2022-02-17,40,1,28,114,103,85,3.03571428571429,3.67857142857143,6,40.65323,40.5,18.33065
"4","T229",2022-02-19,27,1,51,198,177,159,3.11764705882353,3.47058823529412,6,26.2043,26,19
"5","T229",2022-02-21,35,1,83,315,254,227,2.73493975903614,3.06024096385542,6,34.90591,35,14.14247
"6","T229",2022-05-05,40,3,20,95,74,62,3.1,3.7,6,39.19399,40,24.0847
"7","T229",2022-05-07,40,3,48,158,170,148,3.08333333333333,3.54166666666667,6,39.88934,40,22.70355
"8","T229",2022-05-09,40,3,85,321,297,262,3.08235294117647,3.49411764705882,6,38.80191,40,23.50956
"9","T229",2022-06-24,40,2,29,105,98,75,2.58620689655172,3.37931034482759,5,39.8807947,41,24.37030905
"10","T229",2022-06-26,35,2,7,133,36,28,4,5.14285714285714,5,36.082781,37,30.74337748
"11","T229",2022-06-28,44,2,17,66,59,47,2.76470588235294,3.47058823529412,5,43.239514,45,21.88300221
"12","T229",2022-06-30,42,2,29,101,100,79,2.72413793103448,3.44827586206897,5,41.7671082,43.5,23.3200883
"13","T229",2022-07-02,27,2,52,203,204,168,3.23076923076923,3.92307692307692,5,30.6452328,31,38.36640798
"14","T230",2022-02-23,42,1,0,0,0,0,0,0,6,44.23656,44,18.96505
"15","T230",2022-02-25,35,1,0,0,0,0,0,0,6,34.48656,35,24.73118
"16","T230",2022-02-27,44,1,0,0,0,0,0,0,6,46.6129,46,12.38172
"17","T230",2022-03-01,40,1,0,0,0,0,0,0,6,41.0914,41,13.24194
"18","T230",2022-03-03,27,1,0,0,0,0,0,0,6,27.46505,27.5,25
"19","T230",2022-05-24,40,3,0,0,0,0,0,0,4,38.49727,39,23.69809
"20","T230",2022-05-26,40,3,0,0,0,0,0,0,4,38.6694,39,24.19809
"21","T230",2022-05-28,40,3,0,0,0,0,0,0,4,38.60109,39.5,24.22268
"22","T230",2022-06-06,40,2,2,9,6,9,3,2,6,39.2935982,40.5,24.34492274
"23","T230",2022-06-08,35,2,0,0,0,0,0,0,6,33.4254967,34,35.40286976
"24","T230",2022-06-10,42,2,3,14,9,14,3.5,2.25,6,41.3907285,42.5,22.30905077
"25","T230",2022-06-12,27,2,2,6,5,6,2,1.66666666666667,6,30.9966887,31,35.25662252
"26","T230",2022-06-14,44,2,0,0,0,0,0,0,6,42.6244469,43.5,28.18086283
"27","T231",2022-02-13,42,1,15,57,45,55,3.66666666666667,3,2,42.79839,43,10.77151
"28","T231",2022-02-15,44,1,0,7,0,0,0,0,2,45.04301,45,8.75
"29","T231",2022-02-17,40,1,19,86,81,82,4.31578947368421,4.26315789473684,2,41.12903,41,16.53763
"30","T231",2022-02-19,27,1,9,24,21,24,2.4,2.1,2,27.24462,27,17.29032
"31","T231",2022-02-21,35,1,62,215,167,205,3.30645161290323,2.69354838709677,2,36.51075,36.5,12.65054
"32","T231",2022-05-05,40,3,3,14,14,15,5,4.66666666666667,2,39.03005,40.5,23.80055
"33","T231",2022-05-07,40,3,83,262,196,242,2.91566265060241,2.36144578313253,2,40.52869,41.5,21.61066
"34","T231",2022-05-09,40,3,10,35,24,30,3,2.4,2,39.40984,41,22.51503
"35","T231",2022-06-24,35,2,18,59,44,54,3,2.44444444444444,1,34.5242826,35,25.61865342
"36","T231",2022-06-26,44,2,11,46,34,39,3.54545454545455,3.09090909090909,1,43.0728477,44,19.23289183
"37","T231",2022-06-28,40,2,42,135,107,127,3.02380952380952,2.54761904761905,1,38.9359823,39.5,21.07671082
"38","T231",2022-06-30,42,2,49,176,147,177,3.61224489795918,3,1,41.5932671,42,19.00827815
"39","T231",2022-07-02,27,2,55,208,164,196,3.56363636363636,2.98181818181818,1,31.0380795,31,34.38631347
"40","T234",2022-02-03,42,1,0,0,0,0,0,0,2,43.04301,43,15.26882
"41","T234",2022-02-05,44,1,11,30,36,28,2.54545454545455,3.27272727272727,2,44.53226,45,9.360215
"42","T234",2022-02-07,27,1,7,34,36,26,3.71428571428571,5.14285714285714,2,27.15591,27,17.00538
"43","T234",2022-02-09,40,1,21,87,59,47,2.23809523809524,2.80952380952381,2,41.09677,41.5,10.77688
"44","T234",2022-02-11,35,1,14,52,54,43,3.07142857142857,3.85714285714286,2,36.1129,36,12.69892
