male,date,temp_target,round,total_songs,motif_count,average_motif,average_duration,average_song_rate,average_motif_rate,chamber,temp_mean,temp_median,humidity_mean
T229,2022-02-13,44,1,0,0,0,NA,NA,NA,6,45.84946,46,9.263441
T229,2022-02-15,42,1,7,24,3.142857142857143,3.7142857142857144,1.8846153846153846,0.8461538461538461,6,42.28226,42.5,9.849462
T229,2022-02-17,40,1,28,114,3.0357142857142856,3.6785714285714284,7.611650485436893,0.8252427184466019,6,40.65323,40.5,18.33065
T229,2022-02-19,27,1,50,198,3.1,3.44,14.534883720930234,0.9011627906976745,6,26.2043,26,19
T229,2022-02-21,35,1,83,315,2.7349397590361444,3.060240963855422,27.122047244094485,0.8937007874015747,6,34.90591,35,14.14247
T229,2022-05-05,40,3,20,95,3.1,30.700000000000003,0.6514657980456026,0.1009771986970684,6,39.19399,40,24.0847
T229,2022-05-07,40,3,48,158,3.083333333333333,2.291666666666667,20.945454545454542,1.3454545454545452,6,39.88934,40,22.70355
T229,2022-05-09,40,3,85,321,3.0823529411764707,NA,NA,NA,6,38.80191,40,23.50956
T229,2022-06-24,40,2,29,105,2.586206896551724,282.6896551724137,0.10258599658453284,0.00914857282263967,5,39.8807947,41,24.37030905
T229,2022-06-26,35,2,7,133,4,5.142857142857143,1.361111111111111,0.7777777777777777,5,36.082781,37,30.74337748
T229,2022-06-28,44,2,17,66,2.764705882352941,7,2.4285714285714284,0.3949579831932773,5,43.239514,45,21.88300221
T229,2022-06-30,42,2,29,101,2.7241379310344827,245.17241379310357,0.11828410689170177,0.011111111111111105,5,41.7671082,43.5,23.3200883
T229,2022-07-02,27,2,52,203,3.230769230769231,3.923076923076923,13.254901960784315,0.823529411764706,5,30.6452328,31,38.36640798
T230,2022-02-23,42,1,0,NA,0,NA,NA,NA,6,44.23656,44,18.96505
T230,2022-02-25,35,1,0,NA,0,NA,NA,NA,6,34.48656,35,24.73118
T230,2022-02-27,44,1,0,NA,0,NA,NA,NA,6,46.6129,46,12.38172
T230,2022-03-01,40,1,0,NA,0,NA,NA,NA,6,41.0914,41,13.24194
T230,2022-03-03,27,1,0,NA,0,NA,NA,NA,6,27.46505,27.5,25
T230,2022-05-24,40,3,0,0,0,NA,NA,NA,4,38.49727,39,23.69809
T230,2022-05-26,40,3,0,0,0,NA,NA,NA,4,38.6694,39,24.19809
T230,2022-05-28,40,3,0,0,0,NA,NA,NA,4,38.60109,39.5,24.22268
T230,2022-06-06,40,2,2,9,3,NA,NA,NA,6,39.2935982,40.5,24.34492274
T230,2022-06-08,35,2,0,0,0,NA,NA,NA,6,33.4254967,34,35.40286976
T230,2022-06-10,42,2,3,14,3.5,NA,NA,NA,6,41.3907285,42.5,22.30905077
T230,2022-06-12,27,2,2,6,2,NA,NA,NA,6,30.9966887,31,35.25662252
T230,2022-06-14,44,2,0,0,0,NA,NA,NA,6,42.6244469,43.5,28.18086283
T231,2022-02-13,42,1,15,57,3.6666666666666665,7,2.142857142857143,0.5238095238095238,2,42.79839,43,10.77151
T231,2022-02-15,44,1,0,7,0,NA,NA,NA,2,45.04301,45,8.75
T231,2022-02-17,40,1,19,86,4.315789473684211,4.2631578947368425,4.4567901234567895,1.0123456790123455,2,41.12903,41,16.53763
T231,2022-02-19,27,1,9,24,2.4,NA,NA,NA,2,27.24462,27,17.29032
T231,2022-02-21,35,1,62,215,3.306451612903226,2.693548387096774,23.017964071856287,1.227544910179641,2,36.51075,36.5,12.65054
T231,2022-05-07,40,3,83,262,2.9156626506024095,2,41.5,1.4578313253012047,2,40.52869,41.5,21.61066
T231,2022-05-09,40,3,10,35,3,2.4,4.166666666666667,1.25,2,39.40984,41,22.51503
T231,2022-06-24,35,2,18,59,3,-830.888888888889,-0.021663546402781488,-0.003610591067130248,1,34.5242826,35,25.61865342
T231,2022-06-26,44,2,11,46,3.5454545454545454,695.8181818181818,0.015808727462764568,0.00509537496733734,1,43.0728477,44,19.23289183
T231,2022-06-28,40,2,42,135,3.0238095238095237,-171.73809523809513,-0.244558436156939,-0.017607098294745608,1,38.9359823,39.5,21.07671082
T231,2022-06-30,42,2,49,176,3.612244897959184,-143.93877551020398,-0.34042251524174133,-0.025095703955763524,1,41.5932671,42,19.00827815
T231,2022-07-02,27,2,55,208,3.5636363636363635,286.61818181818177,0.1918929205785334,0.012433392539964477,1,31.0380795,31,34.38631347
T234,2022-02-03,42,1,0,0,0,NA,NA,NA,2,43.04301,43,15.26882
T234,2022-02-05,44,1,11,30,2.5454545454545454,3.272727272727273,3.3611111111111107,0.7777777777777777,2,44.53226,45,9.360215
T234,2022-02-07,27,1,7,34,3.7142857142857144,5.142857142857143,1.361111111111111,0.7222222222222222,2,27.15591,27,17.00538
T234,2022-02-09,40,1,21,87,2.238095238095238,2.3333333333333335,9,0.9591836734693877,2,41.09677,41.5,10.77688
T234,2022-02-11,35,1,14,52,3.0714285714285716,3.857142857142857,3.6296296296296298,0.7962962962962963,2,36.1129,36,12.69892
T234,2022-04-23,40,3,7,32,3.857142857142857,5.142857142857143,1.361111111111111,0.75,2,39.49727,41,22.79781
T234,2022-04-25,40,3,8,31,3.125,3.625,2.206896551724138,0.8620689655172413,2,39.34973,41,23.16257
T234,2022-04-27,40,3,11,41,3.1818181818181817,4.363636363636363,2.5208333333333335,0.7291666666666666,2,38.32787,40.5,17.74863
T234,2022-06-23,44,2,9,36,3.111111111111111,790.6666666666666,0.011382799325463743,0.0039347948285553686,2,42.5259382,44,22.06456954
T234,2022-06-25,35,2,9,76,2.888888888888889,3.2222222222222223,2.793103448275862,0.8965517241379309,2,34.7880795,35,30.0700883
T234,2022-06-27,42,2,14,61,3.857142857142857,112.57142857142857,0.12436548223350254,0.03426395939086294,2,41.7682119,43,22.4486755
T234,2022-06-29,27,2,9,45,2.7777777777777777,3.2222222222222223,2.793103448275862,0.8620689655172413,2,29.7826087,29.5,35.25027871
T234,2022-07-01,40,2,21,76,2.761904761904762,-8.380952380952383,-2.5056818181818175,-0.3295454545454545,2,39.3620309,40.5,24.96799117
T235,2022-02-13,40,1,19,74,3.1052631578947367,3.0526315789473686,6.224137931034482,1.0172413793103448,4,40.48925,40.5,10.00806
T235,2022-02-15,35,1,3,10,3,2.3333333333333335,1.2857142857142856,1.2857142857142856,4,34.28763,34.5,11.46505
T235,2022-02-17,42,1,47,206,4,3.8510638297872375,12.204419889502752,1.0386740331491704,4,42.5,42.5,16.35484
T235,2022-02-19,44,1,65,265,3.4307692307692306,3.0615384615384613,21.231155778894475,1.120603015075377,4,45.02451,45,9.519608
T235,2022-02-21,27,1,74,327,3.972972972972973,2.621621621621622,28.226804123711336,1.515463917525773,4,26,26,19.01882
T235,2022-05-05,40,3,15,81,4.333333333333333,3.8666666666666667,3.8793103448275863,1.1206896551724137,4,38.79508,39.5,23.6612
T235,2022-05-07,40,3,25,122,4.08,3.8,6.578947368421053,1.0736842105263158,4,40.00546,40,21.61749
