male,chamber,date,song_count,counter,temp_target,,
T247,2,4/11/2022,70,KIM,40,,
T247,2,4/13/2022,79,KIM,40,,
T247,2,4/15/2022,80,KIM,40,,
T236,4,4/11/2022,176,KIM,40,,
T236,4,4/13/2022,231,KIM,40,,
T236,4,4/15/2022,196,KIM,40,,
T243,6,4/11/2022,289,KIM,40,,
T243,6,4/13/2022,292,KIM,40,,
T243,6,4/15/2022,229,KIM,40,,
T234,2,4/23/2022,32,KIM,40,,
T234,2,4/25/2022,31,KIM,40,,
T234,2,4/27/2022,41,KIM,40,,
T244,4,4/23/2022,55,KIM,40,,
T244,4,4/25/2022,114,KIM,40,,
T244,4,4/27/2022,56,KIM,40,,
T231,2,05/05/2022,14,KIM,40,,
T231,2,05/07/2022,262,KIM,40,,
T231,2,05/09/2022,35,KIM,40,,
T235,4,05/05/2022,81,KIM,40,,
T235,4,05/07/2022,122,KIM,40,,
T235,4,05/09/2022,38,KIM,40,,
T229,6,05/05/2022,95,KIM,40,,
T229,6,05/07/2022,158,KIM,40,,
T229,6,05/09/2022,321,KIM,40,,
T237,2,05/24/2022,180,KIM,40,,
T237,2,05/26/2022,122,KIM,40,,
T237,2,05/28/2022,128,KIM,40,,
T230,4,05/24/2022,0,KIM,40,, 
T230,4,05/26/2022,0,KIM,40,,
T230,4,05/28/2022,0,KIM,40,,
