male,chamber,date,song_count,counter,test_order,temp_target
T229,6,02/13/22,0,KIM,1,44
T229,6,02/15/22,24,KIM,2,42
T229,6,02/17/22,114,KIM,3,40
T229,6,02/19/22,198,KIM,4,27
T229,6,02/21/22,315,KIM,5,35
T230,6,02/23/22,,KIM,1,42
T230,6,02/25/22,,KIM,2,35
T230,6,02/27/22,,KIM,3,44
T230,6,03/01/22,,KIM,4,40
T230,6,03/03/22,,KIM,5,27
T231,2,02/13/22,57,RAS,1,42
T231,2,02/15/22,7,RAS,2,44
T231,2,02/17/22,86,KIM,3,40
T231,2,02/19/22,24,RAS,4,27
T231,2,02/21/22,215,RAS,5,35
T234,2,02/03/22,0,RAS,1,42
T234,2,02/05/22,30,RAS,2,44
T234,2,02/07/22,34,RAS,3,27
T234,2,02/09/22,87,RAS,4,40
T234,2,02/11/22,52,RAS,5,35
T235,4,02/13/22,74,KIM,1,40
T235,4,02/15/22,10,KIM,2,35
T235,4,02/17/22,206,KIM,3,42
T235,4,02/19/22,265,KIM,4,44
T235,4,02/21/22,327,KIM,5,27
T236,4,01/24/22,90,RAS,1,40
T236,4,01/26/22,187,RAS,2,35
T236,4,01/28/22,204,RAS,3,44
T236,4,01/30/22,126,RAS,4,27
T236,4,02/01/22,151,RAS,5,42
T237,2,02/23/22,,KIM,1,40
T237,2,02/25/22,,KIM,2,44
T237,2,02/27/22,,KIM,3,35
T237,2,03/01/22,,KIM,4,27
T237,2,03/03/22,,KIM,5,42
T243,6,01/24/22,0,RAS,1,35
T243,6,01/26/22,35,RAS,2,44
T243,6,01/28/22,118,RAS,3,42
T243,6,01/30/22,197,RAS,4,40
T243,6,02/01/22,88,RAS,5,27
T244,6,02/03/22,62,KIM,1,42
T244,6,02/05/22,42,KIM,2,40
T244,6,02/07/22,38,KIM,3,35
T244,6,02/09/22,54,KIM,4,27
T244,6,02/11/22,74,KIM,5,44
T246,4,02/03/22,0,RAS,1,40
T246,4,02/05/22,0,RAS,2,27
T246,4,02/07/22,129,RAS,3,42
T246,4,02/09/22,76,RAS,4,44
T246,4,02/11/22,48,RAS,5,35
T247,2,01/24/22,30,RAS,1,44
T247,2,01/26/22,62,RAS,2,35
T247,2,01/28/22,118,RAS,3,42
T247,2,01/30/22,162,RAS,4,27
T247,2,02/01/22,174,RAS,5,40
