Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,stop panting,Not defined,STATE,2.273,2.563,0.290,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,stop panting,Not defined,STATE,8.020,23.048,15.028,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,out of sight,Not defined,STATE,8.305,22.024,13.719,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,stop panting,Not defined,STATE,26.447,42.052,15.605,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,panting,Not defined,STATE,26.703,42.051,15.348,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,stop panting,Not defined,STATE,74.610,128.890,54.280,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,out of sight,Not defined,STATE,74.611,106.558,31.947,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,out of sight,Not defined,STATE,107.919,128.889,20.970,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,stop panting,Not defined,STATE,130.915,147.515,16.600,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,panting,Not defined,STATE,130.916,132.588,1.672,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,out of sight,Not defined,STATE,132.589,147.514,14.925,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,stop panting,Not defined,STATE,150.913,163.725,12.812,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,panting,Not defined,STATE,150.914,163.724,12.810,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,stop panting,Not defined,STATE,175.483,262.051,86.568,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,panting,Not defined,STATE,175.484,201.622,26.138,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,out of sight,Not defined,STATE,201.623,211.039,9.416,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,panting,Not defined,STATE,211.040,215.440,4.400,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,out of sight,Not defined,STATE,215.441,234.108,18.667,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,panting,Not defined,STATE,234.109,245.209,11.100,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,out of sight,Not defined,STATE,245.210,256.161,10.951,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,panting,Not defined,STATE,256.162,259.028,2.866,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,out of sight,Not defined,STATE,259.029,262.050,3.021,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,stop panting,Not defined,STATE,262.373,344.159,81.786,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,panting,Not defined,STATE,262.374,265.394,3.020,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,out of sight,Not defined,STATE,265.395,280.335,14.940,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,panting,Not defined,STATE,280.336,283.982,3.646,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,out of sight,Not defined,STATE,283.983,287.181,3.198,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,panting,Not defined,STATE,287.182,290.932,3.750,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,out of sight,Not defined,STATE,290.933,295.761,4.828,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,panting,Not defined,STATE,295.762,303.570,7.808,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,out of sight,Not defined,STATE,303.571,310.567,6.996,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,panting,Not defined,STATE,310.568,315.739,5.171,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,out of sight,Not defined,STATE,315.740,344.158,28.418,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,stop panting,Not defined,STATE,344.766,352.113,7.347,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,panting,Not defined,STATE,344.767,346.179,1.412,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,out of sight,Not defined,STATE,346.180,352.112,5.932,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,stop panting,Not defined,STATE,353.853,358.794,4.941,NA,,,,,,
A,2025-04-05 12:38:20.326,timestamp date time: 2023-04-27; 13:57:58,Live observation,NA,0.0,1783.380,NA,NA,No focal subject,3127.536,out of sight,Not defined,STATE,353.854,358.793,4.939,NA,,,,,,
