Male,Chamber,Date,songs,counter,Test order,Temp
T236,4,Jan 24 2022,90,RAS,1,40
T236,4,Jan 26 2022,187,RAS,2,35
T236,4,Jan 28 2022,204,RAS,3,44
T236,4,Jan 30 2022,126,RAS,4,27
T236,4,Feb 01 2022,151,RAS,5,42
T243,6,Jan 24 2022,0,RAS,1,35
T243,6,Jan 26 2022,35,RAS,2,44
T243,6,Jan 28 2022,118,RAS,3,42
T243,6,Jan 30 2022,197,RAS,4,40
T243,6,Feb 01 2022,88,RAS,5,27
T246,4,Feb 03 2022,0,RAS,1,40
T246,4,Feb 05 2022,0,RAS,2,27
T246,4,Feb 07 2022,129,RAS,3,42
T246,4,Feb 09 2022,76,RAS,4,44
T246,4,Feb 11 2022,48,RAS,5,35
T247,2,Jan 30 2022,162,RAS,4,27
T247,2,Jan 24 2022,30,RAS,1,44
T247,2,Jan 26 2022,62,RAS,2,35
T247,2,Jan 28 2022,118,RAS,3,42
T247,2,Feb 01 2022,174,RAS,5,40
T234,2,Feb 03 2022,0,RAS,1,42
T234,2,Feb 05 2022,30,RAS,2,44
T234,2,Feb 07 2022,34,RAS,3,27
T234,2,Feb 09 2022,87,RAS,4,40
T234,2,Feb 11 2022,52,RAS,5,35
T231,2,Feb 13 2022,57,RAS,1,42
T231,2,Feb 15 2022,7,RAS,2,44
T231,2,Feb 19 2022,24,RAS,4,27
T231,2,Feb 21 2022,215,RAS,5,35
T231,2,Feb 17 2022,86,KIM,3,40
T244,6,Feb 03 2022,62,KIM,1,42
T244,6,Feb 05 2022,42,KIM,2,40
T244,6,Feb 07 2022,38,KIM,3,35
T244,6,Feb 09 2022,54,KIM,4,27
T244,6,Feb 11 2022,74,KIM,5,44
T235,4,Feb 13 2022,74,KIM,1,40
T235,4,Feb 15 2022,10,KIM,2,35
T235,4,Feb 17 2022,206,KIM,3,42
T235,4,Feb 19 2022,265,KIM,4,44
T235,4,Feb 21 2022,327,KIM,5,27
T229,6,Feb 13 2022,0,KIM,1,44
T229,6,Feb 15 2022,24,KIM,2,42
T229,6,Feb 17 2022,114,KIM,3,40
T229,6,Feb 19 2022,198,KIM,4,27
T229,6,Feb 21 2022,315,KIM,5,35
T237,2,Feb 23 2022,,KIM,1,40
T237,2,Feb 25 2022,,KIM,2,44
T237,2,Feb 27 2022,,KIM,3,35
T237,2,March 01 2022,,KIM,4,27
T237,2,March 03 2022,,KIM,5,42
T230,6,Feb 23 2022,,KIM,1,42
T230,6,Feb 25 2022,,KIM,2,35
T230,6,Feb 27 2022,,KIM,3,44
T230,6,March 01 2022,,KIM,4,40
T230,6,March 03 2022,,KIM,5,27
