Male,Date,Clipped File Name,Timestamp Start,Timestamp End,Number of Motifs,Any motifs after .5 gap,Other notes
T234,2/3/2022,NA,NA,NA,0,NA,Did not sing
T230,6/8/2022,NA,NA,NA,0,NA,"Did not sing during 30 min trial, sang before only"
T231,5/7/2022,T231_May_07_2022_1,32m 57s,33m 3s,6,No,
T231,5/7/2022,T231_May_07_2022_2,33m 12s,33m 14s,2,No,
T231,5/7/2022,T231_May_07_2022_3,33m 14s,33m 16s,2,No,
T231,5/7/2022,T231_May_07_2022_4,33m 16s,33m 18s,3,No,
T231,5/7/2022,T231_May_07_2022_5,33m 23s,33m 27s,5,Yes,three additional motifs after .58 and .89 sec pauses
T231,5/7/2022,T231_May_07_2022_6,34m 7s,34m 10s,2,No,
T231,5/7/2022,T231_May_07_2022_7,34m 30s,34m 34s,4,No,
T231,5/7/2022,T231_May_07_2022_8,37m 43s,37m 45s,2,Yes,There is a partial motif after .53 sec pause
T231,5/7/2022,T231_May_07_2022_9,37m 55s,37m 58s,4,No,
T231,5/7/2022,T231_May_07_2022_10,37m 59s,38m 1s,3,No,
T231,5/7/2022,T231_May_07_2022_11,38m 2s,38m 5s,2,No,
T231,5/7/2022,T231_May_07_2022_12,38m 6s,38m 8s,2,No,
T231,5/7/2022,T231_May_07_2022_13,38m 33s,38m 36s,4,No,
T231,5/7/2022,T231_May_07_2022_14,38m 37s,38m 38s,3,No,incomplete motifs
T231,5/7/2022,T231_May_07_2022_15,38m 40s,38m 41s,2,No,
T231,5/7/2022,T231_May_07_2022_16,38m 54s,38m 58s,4,No,
T231,5/7/2022,T231_May_07_2022_17,38m 58s,39m 0s,2,No,
T231,5/7/2022,T231_May_07_2022_18,39m 33s,39m 35s,3,No,
T231,5/7/2022,T231_May_07_2022_19,39m 36s,39m 38s,3,No,
T231,5/7/2022,T231_May_07_2022_20,39m 51s,39m 53s,2,No,
T231,5/7/2022,T231_May_07_2022_21,39m 53s,39m 55s,3,No,
T231,5/7/2022,T231_May_07_2022_22,40m 11s,40m 15s,4,No,
T231,5/7/2022,T231_May_07_2022_23,40m 15s,40m 17s,2,No,
T231,5/7/2022,T231_May_07_2022_24,40m 39s,40m 43s,5,No,
T231,5/7/2022,T231_May_07_2022_25,40m 46s,40m 48s,3,No,
T231,5/7/2022,T231_May_07_2022_26,41m 44s,41m 46s,2,No,
T231,5/7/2022,T231_May_07_2022_27,41m 46s,41m 48s,3,No,
T231,5/7/2022,T231_May_07_2022_28,41m 51s,41m 52s,2,No,
T231,5/7/2022,T231_May_07_2022_29,43m 9s,43m 11s,4,No,
T231,5/7/2022,T231_May_07_2022_30,43m 12s,43m 14s,3,No,
T231,5/7/2022,T231_May_07_2022_31,43m 15s,43m 16s,2,No,
T231,5/7/2022,T231_May_07_2022_32,43m 18s,43m 19s,2,No,
T231,5/7/2022,T231_May_07_2022_33,43m 20s,43m 21s,2,Yes,additional motif after .73 sec pause
T231,5/7/2022,T231_May_07_2022_34,44m 26s,44m 30s,4,No,
T231,5/7/2022,T231_May_07_2022_35,44m 31s,44m 32s,2,No,
T231,5/7/2022,T231_May_07_2022_36,44m 34s,44m 36s,2,No,
T231,5/7/2022,T231_May_07_2022_37,44m 36s,44m 38s,3,No,
T231,5/7/2022,T231_May_07_2022_38,44m 43s,44m 45s,3,No,
T231,5/7/2022,T231_May_07_2022_39,44m 53s,44m 56s,4,No,
T231,5/7/2022,T231_May_07_2022_40,45m 25s,45m 29s,4,No,
T231,5/7/2022,T231_May_07_2022_41,46m 15s,46m 19s,5,No,
T231,5/7/2022,T231_May_07_2022_42,46m 20s,46m 22s,2,No,
T231,5/7/2022,T231_May_07_2022_43,46m 25s,46m 27s,3,No,
T231,5/7/2022,T231_May_07_2022_44,46m 28s,46m 29s,2,No,
T231,5/7/2022,T231_May_07_2022_45,46m 44s,46m 48s,4,No,
T231,5/7/2022,T231_May_07_2022_46,47m 36s,47m 39s,4,No,
T231,5/7/2022,T231_May_07_2022_47,47m 40s,47m 42s,2,No,
T231,5/7/2022,T231_May_07_2022_48,47m 42s,47m 44s,3,No,
T231,5/7/2022,T231_May_07_2022_49,48m 0s,48m 2s,3,No,
T231,5/7/2022,T231_May_07_2022_50,48m 3s,48m 6s,3,No,
T231,5/7/2022,T231_May_07_2022_51,48m 6s,48m 8s,2,No,
T231,5/7/2022,T231_May_07_2022_52,49m 33s,49m 34s,2,No,
T231,5/7/2022,T231_May_07_2022_53,49m 36s,49m 38s,3,No,
T231,5/7/2022,T231_May_07_2022_54,49m 39s,49m 42s,3,No,
T231,5/7/2022,T231_May_07_2022_55,49m 42s,49m 44s,2,No,
T231,5/7/2022,T231_May_07_2022_56,50m 57s,50m 59s,3,Yes,additional motif after .51 sec pause
T231,5/7/2022,T231_May_07_2022_57,51m 3s,51m 5s,3,No,
T231,5/7/2022,T231_May_07_2022_58,51m 6s,51m 8s,2,No,questionable intro notes
