"V1" "V2" "V3" "V4" "V5" "V6" "V7"
1 "2022-02-03 08:00:03" 24 45 33.5 7 10045488
2 "2022-02-03 08:00:13" 24 45 34 7.2 NA
3 "2022-02-03 08:00:23" 24 45 34 7.2 NA
4 "2022-02-03 08:00:33" 24 45 34 7.2 NA
5 "2022-02-03 08:00:43" 24.5 45 33 7.2 NA
6 "2022-02-03 08:00:53" 24.5 45 33 7.2 NA
7 "2022-02-03 08:01:03" 24.5 45 32.5 7 NA
8 "2022-02-03 08:01:13" 24.5 45 32.5 7 NA
9 "2022-02-03 08:01:23" 24.5 45 32.5 7 NA
10 "2022-02-03 08:01:33" 24.5 45 32.5 7 NA
11 "2022-02-03 08:01:43" 24.5 45 32.5 7 NA
12 "2022-02-03 08:01:53" 24.5 45 32 6.7 NA
13 "2022-02-03 08:02:03" 24.5 45 32 6.7 NA
14 "2022-02-03 08:02:13" 24.5 45 32 6.7 NA
15 "2022-02-03 08:02:23" 24.5 45 32 6.7 NA
16 "2022-02-03 08:02:33" 24.5 45 32 6.7 NA
17 "2022-02-03 08:02:43" 24.5 45 31.5 6.5 NA
18 "2022-02-03 08:02:53" 25 45 31.5 6.9 NA
19 "2022-02-03 08:03:03" 25 45 31.5 6.9 NA
20 "2022-02-03 08:03:13" 25 45 31.5 6.9 NA
21 "2022-02-03 08:03:23" 25 45 31.5 6.9 NA
22 "2022-02-03 08:03:33" 25 45 31.5 6.9 NA
23 "2022-02-03 08:03:43" 25 45 31.5 6.9 NA
24 "2022-02-03 08:03:53" 25 45 31.5 6.9 NA
25 "2022-02-03 08:04:03" 25 45 31.5 6.9 NA
26 "2022-02-03 08:04:13" 25 45 31.5 6.9 NA
27 "2022-02-03 08:04:23" 25 45 31.5 6.9 NA
28 "2022-02-03 08:04:33" 25 45 31.5 6.9 NA
29 "2022-02-03 08:04:43" 25 45 31.5 6.9 NA
30 "2022-02-03 08:04:53" 25 45 31.5 6.9 NA
31 "2022-02-03 08:05:03" 25 45 31.5 6.9 NA
32 "2022-02-03 08:05:13" 25 45 31.5 6.9 NA
33 "2022-02-03 08:05:23" 25 45 31.5 6.9 NA
34 "2022-02-03 08:05:33" 25 45 31.5 6.9 NA
35 "2022-02-03 08:05:43" 25 45 31.5 6.9 NA
36 "2022-02-03 08:05:53" 25 45 31.5 6.9 NA
37 "2022-02-03 08:06:03" 25 45 31.5 6.9 NA
38 "2022-02-03 08:06:13" 25 45 31.5 6.9 NA
39 "2022-02-03 08:06:23" 25 45 31.5 6.9 NA
40 "2022-02-03 08:06:33" 25 45 31.5 6.9 NA
41 "2022-02-03 08:06:43" 25 45 31.5 6.9 NA
42 "2022-02-03 08:06:53" 25 45 31.5 6.9 NA
43 "2022-02-03 08:07:03" 25 45 31.5 6.9 NA
44 "2022-02-03 08:07:13" 25 45 31.5 6.9 NA
45 "2022-02-03 08:07:23" 25 45 31.5 6.9 NA
46 "2022-02-03 08:07:33" 25 45 31.5 6.9 NA
47 "2022-02-03 08:07:43" 25 45 31.5 6.9 NA
48 "2022-02-03 08:07:53" 25 45 31.5 6.9 NA
49 "2022-02-03 08:08:03" 25 45 31.5 6.9 NA
50 "2022-02-03 08:08:13" 25 45 31.5 6.9 NA
51 "2022-02-03 08:08:23" 25 45 31.5 6.9 NA
52 "2022-02-03 08:08:33" 25 45 31.5 6.9 NA
53 "2022-02-03 08:08:43" 25 45 31.5 6.9 NA
54 "2022-02-03 08:08:53" 25 45 31.5 6.9 NA
55 "2022-02-03 08:09:03" 25 45 31.5 6.9 NA
56 "2022-02-03 08:09:13" 25 45 31.5 6.9 NA
57 "2022-02-03 08:09:23" 25 45 31.5 6.9 NA
58 "2022-02-03 08:09:33" 25 45 31.5 6.9 NA
59 "2022-02-03 08:09:43" 25 45 31.5 6.9 NA
60 "2022-02-03 08:09:53" 25 45 31.5 6.9 NA
61 "2022-02-03 08:10:03" 25 45 31.5 6.9 NA
62 "2022-02-03 08:10:13" 25 45 31.5 6.9 NA
63 "2022-02-03 08:10:23" 25 45 31.5 6.9 NA
64 "2022-02-03 08:10:33" 25 45 31.5 6.9 NA
65 "2022-02-03 08:10:43" 25 45 32 7.2 NA
66 "2022-02-03 08:10:53" 25 45 32 7.2 NA
67 "2022-02-03 08:11:03" 25 45 31.5 6.9 NA
68 "2022-02-03 08:11:13" 25 45 34 8.1 NA
69 "2022-02-03 08:11:23" 25 45 35 8.5 NA
70 "2022-02-03 08:11:33" 25 45 33.5 7.8 NA
71 "2022-02-03 08:11:43" 25 45 33 7.6 NA
72 "2022-02-03 08:11:53" 25 45 33 7.6 NA
73 "2022-02-03 08:12:03" 25.5 45 32.5 7.8 NA
74 "2022-02-03 08:12:13" 25.5 45 32.5 7.8 NA
75 "2022-02-03 08:12:23" 25.5 45 32 7.6 NA
76 "2022-02-03 08:12:33" 26 45 32 8 NA
77 "2022-02-03 08:12:43" 26 45 31.5 7.8 NA
78 "2022-02-03 08:12:53" 26.5 45 31.5 8.2 NA
79 "2022-02-03 08:13:03" 26.5 45 31 8 NA
80 "2022-02-03 08:13:13" 27 45 30.5 8.2 NA
81 "2022-02-03 08:13:23" 27 45 30.5 8.2 NA
82 "2022-02-03 08:13:33" 27.5 45 30 8.4 NA
83 "2022-02-03 08:13:43" 27.5 45 29.5 8.1 NA
84 "2022-02-03 08:13:53" 27.5 45 29.5 8.1 NA
85 "2022-02-03 08:14:03" 28 45 29 8.3 NA
86 "2022-02-03 08:14:13" 28 45 29 8.3 NA
87 "2022-02-03 08:14:23" 28.5 45 29 8.7 NA
88 "2022-02-03 08:14:33" 28.5 45 28.5 8.5 NA
89 "2022-02-03 08:14:43" 29 45 28 8.7 NA
90 "2022-02-03 08:14:53" 29 45 28 8.7 NA
91 "2022-02-03 08:15:03" 29 45 27.5 8.4 NA
92 "2022-02-03 08:15:13" 29.5 45 27.5 8.8 NA
93 "2022-02-03 08:15:23" 29.5 45 27 8.5 NA
94 "2022-02-03 08:15:33" 30 45 27 9 NA
95 "2022-02-03 08:15:43" 30 45 26.5 8.7 NA
96 "2022-02-03 08:15:53" 30 45 26.5 8.7 NA
97 "2022-02-03 08:16:03" 30.5 45 26 8.8 NA
98 "2022-02-03 08:16:13" 30.5 45 26 8.8 NA
99 "2022-02-03 08:16:23" 31 45 25.5 9 NA
100 "2022-02-03 08:16:33" 31 45 25.5 9 NA
101 "2022-02-03 08:16:43" 31 45 25.5 9 NA
102 "2022-02-03 08:16:53" 31.5 45 25 9.1 NA
103 "2022-02-03 08:17:03" 31.5 45 25 9.1 NA
104 "2022-02-03 08:17:13" 31.5 45 25 9.1 NA
105 "2022-02-03 08:17:23" 32 45 25 9.5 NA
106 "2022-02-03 08:17:33" 32 45 25 9.5 NA
107 "2022-02-03 08:17:43" 32 45 24.5 9.2 NA
108 "2022-02-03 08:17:53" 32.5 45 24.5 9.6 NA
109 "2022-02-03 08:18:03" 32.5 45 24.5 9.6 NA
110 "2022-02-03 08:18:13" 32.5 45 24 9.3 NA
111 "2022-02-03 08:18:23" 33 45 24 9.7 NA
112 "2022-02-03 08:18:33" 33 45 23.5 9.4 NA
113 "2022-02-03 08:18:43" 33 45 23.5 9.4 NA
114 "2022-02-03 08:18:53" 33 45 23 9.1 NA
115 "2022-02-03 08:19:03" 33.5 45 23 9.5 NA
116 "2022-02-03 08:19:13" 33.5 45 23 9.5 NA
117 "2022-02-03 08:19:23" 33.5 45 23 9.5 NA
118 "2022-02-03 08:19:33" 34 45 23 9.9 NA
119 "2022-02-03 08:19:43" 34 45 23 9.9 NA
120 "2022-02-03 08:19:53" 34 45 22.5 9.6 NA
121 "2022-02-03 08:20:03" 34 45 22.5 9.6 NA
122 "2022-02-03 08:20:13" 34.5 45 22.5 10 NA
123 "2022-02-03 08:20:23" 34.5 45 22 9.7 NA
124 "2022-02-03 08:20:33" 34.5 45 22 9.7 NA
125 "2022-02-03 08:20:43" 34.5 45 22 9.7 NA
126 "2022-02-03 08:20:53" 34.5 45 21.5 9.4 NA
127 "2022-02-03 08:21:03" 35 45 21.5 9.8 NA
128 "2022-02-03 08:21:13" 35 45 21.5 9.8 NA
129 "2022-02-03 08:21:23" 35 45 21.5 9.8 NA
130 "2022-02-03 08:21:33" 35 45 21 9.4 NA
131 "2022-02-03 08:21:43" 35.5 45 21 9.8 NA
132 "2022-02-03 08:21:53" 35.5 45 21 9.8 NA
133 "2022-02-03 08:22:03" 35.5 45 21 9.8 NA
134 "2022-02-03 08:22:13" 35.5 45 21 9.8 NA
135 "2022-02-03 08:22:23" 36 45 21 10.2 NA
136 "2022-02-03 08:22:33" 36 45 20.5 9.9 NA
137 "2022-02-03 08:22:43" 36 45 20.5 9.9 NA
138 "2022-02-03 08:22:53" 36 45 20.5 9.9 NA
139 "2022-02-03 08:23:03" 36.5 45 20.5 10.3 NA
140 "2022-02-03 08:23:13" 36.5 45 20 9.9 NA
141 "2022-02-03 08:23:23" 36.5 45 20 9.9 NA
142 "2022-02-03 08:23:33" 36.5 45 20 9.9 NA
143 "2022-02-03 08:23:43" 36.5 45 20 9.9 NA
144 "2022-02-03 08:23:53" 37 45 19.5 9.9 NA
145 "2022-02-03 08:24:03" 37 45 19.5 9.9 NA
146 "2022-02-03 08:24:13" 37 45 19.5 9.9 NA
147 "2022-02-03 08:24:23" 37 45 19.5 9.9 NA
148 "2022-02-03 08:24:33" 37.5 45 19.5 10.4 NA
149 "2022-02-03 08:24:43" 37.5 45 19.5 10.4 NA
150 "2022-02-03 08:24:53" 37.5 45 19.5 10.4 NA
151 "2022-02-03 08:25:03" 37.5 45 19.5 10.4 NA
152 "2022-02-03 08:25:13" 37.5 45 19.5 10.4 NA
153 "2022-02-03 08:25:23" 38 45 19 10.4 NA
154 "2022-02-03 08:25:33" 38 45 19 10.4 NA
155 "2022-02-03 08:25:43" 38 45 19 10.4 NA
156 "2022-02-03 08:25:53" 38 45 18.5 10 NA
157 "2022-02-03 08:26:03" 38 45 18.5 10 NA
158 "2022-02-03 08:26:13" 38.5 45 18.5 10.4 NA
159 "2022-02-03 08:26:23" 38.5 45 18.5 10.4 NA
160 "2022-02-03 08:26:33" 38.5 45 18.5 10.4 NA
161 "2022-02-03 08:26:43" 38.5 45 18.5 10.4 NA
162 "2022-02-03 08:26:53" 38.5 45 18.5 10.4 NA
163 "2022-02-03 08:27:03" 39 45 18.5 10.8 NA
