"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
1 "2022-01-12 10:16:12" 23 44.5 26 21 -0.5 10126936
2 "2022-01-12 10:16:22" 23 44.5 26 21.5 -0.2 NA
3 "2022-01-12 10:16:32" 23 44.5 26 21.5 -0.2 NA
4 "2022-01-12 10:16:42" 23 44.5 26 26 2.5 NA
5 "2022-01-12 10:16:52" 23 44.5 26 28 3.5 NA
6 "2022-01-12 10:17:02" 23 44.5 26 25.5 2.2 NA
7 "2022-01-12 10:17:12" 23 44.5 26 23.5 1.1 NA
8 "2022-01-12 10:17:22" 23.5 44.5 26 24.5 2.1 NA
9 "2022-01-12 10:17:32" 23.5 44.5 26 24 1.8 NA
10 "2022-01-12 10:17:42" 23.5 44.5 26 23 1.2 NA
11 "2022-01-12 10:17:52" 23.5 44.5 26 22.5 0.9 NA
12 "2022-01-12 10:18:02" 24 44.5 26 22.5 1.3 NA
13 "2022-01-12 10:18:12" 24 44.5 26 28.5 4.6 NA
14 "2022-01-12 10:18:22" 24 44.5 26 36.5 8.2 NA
15 "2022-01-12 10:18:32" 24 44.5 26 29.5 5.1 NA
16 "2022-01-12 10:18:42" 24 44.5 26 24 2.2 NA
17 "2022-01-12 10:18:52" 24.5 44.5 26 22.5 1.7 NA
18 "2022-01-12 10:19:02" 24.5 44.5 26 22 1.4 NA
